eta1,beta1,r1,eta2,beta2,r2,chi_eff,beta_eff,lambda0,solver_success
2.167932653778438,3.479334390266412,0.19619725491099027,1.0,0.5,1.0,1.011678663432498,0.5506205018281777,2.3512732419854605,1
3.911995346759443,4.418838034244587,0.4801049158216302,1.0,0.5,1.0,0.6730798442563122,-2.4954950853027285,7.644722271634222,1
2.467871172348045,0.7155738663443217,0.43819380672782926,1.0,0.5,1.0,0.6059930393441637,1.3425343347359047,10.36718526437471,1
3.9398526247062398,2.069916457179517,0.5959447749120409,1.0,0.5,1.0,1.8282624918793353,1.2031006141627736,1.2060821796195735,1
0.6970076654095383,1.0986268687856326,0.2630629714499946,1.0,0.5,1.0,1.0403737652526,1.292555122519003,9.837385144258514,1
4.9152807632786155,0.2227494094955368,0.27225479727969937,1.0,0.5,1.0,1.1187285205070476,0.4824586983860026,2.09366243608619,1
0.6412965527846103,3.197676258456622,0.6225363374386889,1.0,0.5,1.0,1.0238706640900477,9.42359259853664,8.01260372824338,1
2.05484675676475,0.18177262366551927,0.44800835542749273,1.0,0.5,1.0,1.1237074374134404,0.43913024700778813,2.096924277957743,1
1.270978851949835,2.1336211775757787,0.3982482020959014,1.0,0.5,1.0,1.0221400460312244,0.7079980856385211,2.2988086066757814,1
1.4948885141272141,4.208204724942951,0.6540920396445051,1.0,0.5,1.0,1.0054272734211485,35.65223100741569,7.122960176171913,1
2.617903369052462,1.998426565511101,0.1872319092744287,1.0,0.5,1.0,1.0138870433749347,0.522080037704693,2.3498028377203095,1
3.2136734828417883,2.5207597451529784,0.8243048527408388,1.0,0.5,1.0,2.3812802282859074,2.0010437605080327,0.9418937579370408,1
4.860094634411347,4.047976455305132,0.7933570098113492,1.0,0.5,1.0,2.0066659191374248,6.5689457824393385,3.5831214061222894,1
2.7310537684959084,1.868911030156935,0.4831921550102021,1.0,0.5,1.0,0.6589662514207036,-6.023077221482018,9.12092137749474,1
2.890591588536045,4.088483972537432,0.22080508900672477,1.0,0.5,1.0,0.8968138403112559,92.46210809528814,7.243376176281067,1
3.2025150274242207,4.529948914825493,0.27797121469786856,1.0,0.5,1.0,1.068610835394034,0.7410280784658817,2.173291806373877,1
1.7953846438873926,4.211073000876999,0.6214943149546447,1.0,0.5,1.0,1.2361969639223298,2.0969401869885367,1.7385716310509312,1
4.844592240769448,3.2104186767569205,0.859466314045821,1.0,0.5,1.0,3.6502003628071362,2.6517876648646053,0.6183455997453529,1
4.220817733575825,3.3733399246681794,0.2519901988806799,1.0,0.5,1.0,1.0759629778967565,0.6363354373045892,2.170177637520284,1
1.4608993397502947,4.315148559570434,0.3671391458022557,1.0,0.5,1.0,0.944863512090599,-89.30242976528721,7.586046082479488,1
3.5889610213702494,2.1768785943248217,0.46747900769857764,1.0,0.5,1.0,1.374094338020795,0.9445509304007151,1.627729048914612,1
0.54758768013616,4.111612224215775,0.3491595713704692,1.0,0.5,1.0,0.9759362036562994,0.7858227748635734,2.414516375675889,1
2.0171005286066954,0.3580095062213312,0.5997016612004664,1.0,0.5,1.0,1.274692777601655,0.44391987967448737,1.8318115172367502,1
4.003754676974275,2.5552063114212222,0.48216790646565055,1.0,0.5,1.0,0.5867017071531035,-1.2437978281936304,8.26046040982666,1
3.9744820653379,0.48361503345728307,0.5327346703120182,1.0,0.5,1.0,1.6228133704562309,0.4941096132315183,1.3961433733244748,1
3.869976457444512,1.8315385427027504,0.8009043810596211,1.0,0.5,1.0,2.6729378865002813,1.4510781167392406,0.8470211450444446,1
2.555668299127703,0.5794819718047389,0.8815122511124648,1.0,0.5,1.0,2.139903191779993,0.5650883727200748,1.1035121280964364,1
2.5515532980073954,3.763945642977138,0.16260256464454584,1.0,0.5,1.0,1.0088461560056248,0.5316876970311991,2.3625318009755456,1
4.139781996895001,0.7600016193891829,0.19996502803332483,1.0,0.5,1.0,1.0346653132927703,0.5053439408993584,2.2949535076831933,1
1.7439633611014111,2.1235369576967678,0.48822854263034754,1.0,0.5,1.0,1.1110872361328064,0.8827145019088553,2.06872340501324,1
2.427316374062953,0.17269763337033728,0.5776250083132464,1.0,0.5,1.0,1.3513180437605945,0.37689992482675155,1.7209083718482265,1
3.838816735368764,4.893769398942255,0.5433279585006198,1.0,0.5,1.0,1.6304970366421347,2.177169923757816,1.2965572320686578,1
4.693408123317974,4.75983054404396,0.26991627845021215,1.0,0.5,1.0,1.1093457331728527,0.7695009522218562,2.0751842487462318,1
